Topic 1 coronavirus spread: What were people saying about the spread of the novel coronavirus NCOV-19 in Wuhan at the end of 2019?
0: It started.  Hey, welcome back. So I want to to make today's episode about this continuing spread of the Wuhan coronavirus. I think the official name for it is the 2019 novel coronavirus, but many people are referring to it as just the coronavirus the the Wuhan coronavirus Wuhan flew I've seen that go around but and I think a good place to start is just a quick recap. Where were at now of course is subject to change.
1:  Hey, welcome back. So I want to to make today's episode about this continuing spread of the Wuhan coronavirus. I think the official name for it is the 2019 novel coronavirus, but many people are referring to it as just the coronavirus the the Wuhan coronavirus Wuhan flew I've seen that go around but and I think a good place to start is just a quick recap. Where were at now of course is subject to change.  And I'll be talking more about these numbers. But but of course this coronavirus it's new to scientists as of 2019 began in the city of Wuhan, which is in the hoobae province of China City of roughly 11 million people and it back in like November December. That's kind of when these cases first started appearing.
2:  And I'll be talking more about these numbers. But but of course this coronavirus it's new to scientists as of 2019 began in the city of Wuhan, which is in the hoobae province of China City of roughly 11 million people and it back in like November December. That's kind of when these cases first started appearing.  And it's a relative of SARS the severe acute respiratory syndrome, which was was a big deal back in the early 2000s. Also close relative of Words, which is similar to SARS. But Middle Eastern respiratory syndrome and very similar symptoms and whatnot. And the same is true for Coronavirus. Now that the mortality rate the deadliness of this new coronavirus. It's still up in the air. And again, we'll be talking more about those numbers a little bit later on today's episode.
3:  Alice's of the situation as well as the I guess impact on the economy because of course that's where my mind often times goes. So quick recap. This is a novel virus.  Which is related to or in the same family as the the czar's which was the severe severe acute respiratory syndrome, which there's a significant outbreak of in in China and Asia back in like the early 2000s as well as merge which is Middle Eastern respiratory syndrome, very similar virus. They're all coronavirus has this one hasn't been given a name yet. It's just a coronavirus which originated as far as we know at least from the city of Wuhan.
4:  Is past whatever the flu kills, you know hundreds of thousands each year. I think they're really important thing to understand about that is that those hundreds of thousands? I mean you have the flu does kill them however the flu as far as we know based on current evidence and whatnot is less contagious or at least I should say has a lower are not number meaning. It's it's not spread as easily.  Compared to this novel coronavirus is mortality rate is far far lower less than 1%
5:  Which is related to or in the same family as the the czar's which was the severe severe acute respiratory syndrome, which there's a significant outbreak of in in China and Asia back in like the early 2000s as well as merge which is Middle Eastern respiratory syndrome, very similar virus. They're all coronavirus has this one hasn't been given a name yet. It's just a coronavirus which originated as far as we know at least from the city of Wuhan.  In China and thus far it it, you know, it produces.
6:  but get into today's topic, you know, I almost hesitate to throw it another podcast about this this Wuhan this Chinese coronavirus and yet I mean I on this Friday  How can I do anything about that because it really is what is driving the markets today. It's driving a lot of these headlines me. If you turn on the Nightly News, if you turn on most mainstream news programs during the day, if you go over to 0 head, you know, most of the news cycle both financial and non-financial really is is fixated on this this coronavirus. So quick recap on where we're at right now, officially.
7:  Hon, but also some surrounding cities in the cash. I don't remember the name of the province hoobae. He hey some big cities right will haunt itself is roughly 11 million individuals. And this has spread to a ton of other countries around the world including Japan South Korea Thailand Australia. I think there's a potential reported case and France Russia the UK.  I believe and of course the United States we have soon to be three potentially three confirmed cases of this coronavirus here in the United States mostly from people that recently traveled to China usually the Wuhan providence province. And of course, this is a coming up on the Chinese Lunar New Year, which is is a big event for people traveling and whatnot. So certainly not a good time for this virus to be on the move.
8:  Based on his career trajectory. This is not just going to go away anytime soon. Right? I've learned a lot lately and I'm sure many other people have about this this are not of this coronavirus relative to past outbreaks and relative to other infectious diseases. They are not basically is this average number spread out over an entire population and it changes and it's different likely from population to population.  Stand on the point in time and their circumstances Etc.
9:  The room of the Chinese government how much have they downplayed this through manipulating these numbers? They taken a strong stance against that publicly but there's a thousand one reasons economically speaking socially speaking for them to say yeah. This is a not a big deal, right and also to to back that up with with numbers that are not out of this world. Now another thing that I found really interesting was was what they call the are not of this coronavirus are not is a measure of the  The spread of a pathogen essentially what it is is on average how many people will be infected by every person that is infected how many people will they spread it to? Right? So if it's one that means one person's present to one other person to another person right and that's just the overall the total number of infectors can stay steady below one is eventually it's going to die out on its own all else being equal and anything above 1 means that it's going to slowly be expanding and early on especially with these
 
Topic 2 greta thunberg cross atlantic: What were people saying about Greta Thunberg’s sailing trip across the Atlantic Ocean in the fall of 2019 and its relationship to global climate change?
0:  Miles of islands like it's two days sailing away. It's some of the deep, you know, some of the deepest ocean the Atlantic and there you are. There's human beings crash. That's how you'd also see big troll marks from panting. No.  He's back.
1:  So they were cutting class to go and stand in front of city hall or the capital and they're still doing it and that's what Greta started a year ago. And now she's up for a Nobel Peace Prize on mainstream news. It's hard to find Greta. Yeah, that's true more news. She's getting more news coverage than any environmental list on the planet, but it's hard to find her in mainstream news. Is that because it's it's seen as  I read an article I think was in the Atlantic about there was that climate report that came out and was maybe like six months to a year ago. That was just so sobering and it was this kind of art. It was the article was actually about that. It's so sobering that it's almost paralyzing and I think that yeah, I think that with the New Media thing the media wants to give you headlines that make you click right and it's going
2:  say it could happen this year right for the first time. I know it is the speed at which things are happening is very terrifying because that has dramatic effects. Apparently it'll mess with the currents in the Atlantic Ocean. What's that called the golfing outside of right the Gulf Stream? Okay. Yeah as it slows down the water heats up more and so you get things like not necessarily more hurricanes, but more intense hurricanes.  Because with warm water in the atmosphere is damper, that's all drawn up so that you not only get greater wind speeds. But lot more water is poured down on communities when it comes down and it would have been the past. I'm not sure where the original question was here. But I don't know either keep going. Well Greta to finger good. She's saying that that we need to panic about it because the situation is that bad and even if say we were wrong
3:  Way Beyond their scholarship and the cost of attendance but it's a tough tough issue and if sponsors won't pay big commercial dollars for women's soccer game on TV those women aren't likely to get paid a lot of money for playing soccer before your second trip you met what now is your husband and you got engaged to him in the middle of the Atlantic Ocean while he was back home. Did they engagement inspire you to get home quicker? Yes.  Yes, I asked him if you would marry me he had this romantic response. He said sure why not and from that point on I pretty much wrote around the clock till I get home December 3rd 1999. You completed your journey across the Atlantic at what point? Did you realize this trip was going to be a success? Yeah, probably December first when I saw Guadalupe for the first time in the middle of the ocean because at any point before that, you can always make a mistake that ends it or ends you
4:  Ooh were fighting climate change is there it exists we have all of the tools in front of us. It's just a matter of acting like this. That's a great idea but like make it so that every new building that's built is NetZero. Like that would be amazing. Another thing that done. I don't know. It's a strange still giant, you know that and subdivision. I'll tell you why it isn't done and this relates to some of the questions you sent me. What what we can do is in relates back to Extinction rebellion, and Greta is  People have to speak up and not just to friends and family and stuff like that. They have to speak out and speak up and show up. Just imagine next Friday right have the second part of the global climate strike on this. Yes on the 27th of Millennium Park 12 to 3, but matching of thousands of people showed up for that rather than I mean probably a few hundred will come and hoping in the Thousand. Yeah, let's get a thousand but I'm saying imagine if that
5:  So yes, we were I can't remember which one it was. But we were basically mapping coral reefs. So like they had been to that study site before and they had you know, these beautiful videos of this pristine reefs and then we'd gone back and then this time there was like giant black bin bags of fishing mesh that has been dumped my do it rocks in them. There was footballs Coca-Cola cans and and this is like 250 nautical.  Miles of islands like it's two days sailing away. It's some of the deep, you know, some of the deepest ocean the Atlantic and there you are. There's human beings crash. That's how you'd also see big troll marks from panting. No.
6:  And then the sponsors had no, no, no, we're gonna sponsor a French woman to row the Mid-Atlantic route. We want you the American to row from the United States to France going west to east across the North Atlantic. I'm like, I'm crazy, but I'm not that crazy turned out I was so there I was alone on the North Atlantic Ocean in a rowboat and I lost Communications eight days from the start and it's really important. If you're going to try to row the North Atlantic to be able to track the Gulf Stream.  Men stay in the Gulf Stream, which is a warm water current that pushes his way toward France. It's one of the things that give southern France its temperate climate is the warm water current that you know sweeps that direction and if you can stay in the Gulf Stream the North Atlantic route can be very fast. When I lost Communications the boat got pushed north of the Gulf Stream. The Gulf Stream is very predictable close to the shore of the United States, but when it goes out toward the middle of the ocean, it's a little like a fire hose it can you can you know, go a hundred miles north
7:  Less individualistic to more kind of collective future. I just I just wondered when you said you weren't sure about Extinction Reveille news. Was it because it wasn't sort of personified by a single Angelic individual that seemed amazing. Whereas Greta obviously is you know that Li you can relate more to her because because she's a amazing young woman it is it just it feels like  Her story and what she's done? I guess it's like she's come. So from nowhere. He couldn't have designed for a Greta to arrive and like immobilized the climate crisis movement as well as I might I find that more compelling rather than it's just because she's an it is not because she's an individual individual is just like that's the kind of change all these all of us including me that are trying to do like designing change.
8:  Disaster on a massive scale even more frightening is the possibility of misuse of biotechnology in creating dangerous and resilient diseases pests and weeds. This could be done deliberately as a means of bioterrorism or accidentally by some overzealous. Idiot in a lab coat if disaster movies have taught us anything number three Gulf Stream shut down. The Gulf Stream is a huge global current which carries warm water Northwest across the Atlantic Ocean warming Western and Northern Europe. However, global  Warming is causing problems for this by Heating and melting ice caps into the Gulf Stream Global Warming. Ironically slows it down and there is evidence that if the trend continues it could eventually totally stop as well as making Europe even colder and greater than it already is this could result in disasters ranging from huge climate changes including massive storms to a mass phytoplankton Extinction. You may recognize phytoplankton as the things which everything else eats did I mention that Europe was cold enough already number two.
9:  Over 30% of our economy is fine and is now Financial products though. He said yeah. Yes. Yes. Well, which is insane. Yeah, and it's no wonder that we can't figure out how to rewire this thing. Right? Yeah. So a mortgage strike would be a real thing not a made-up thing and it would change our culture in profound ways and the way we think about what has value  And why things have value and what we really want from our lives and how we want to go to work and what we want to work for right? Also Greta is landing on the East Coast by boat my gosh her trip is amazing but her commitment to not flying and being at these un climate talks where she's going to be he most honoured guests in the world. It's pretty inspiring.
 
Topic 3 black hole image: In May 2019 astronomers released the first-ever picture of a black hole.  I would like to hear some conversations and educational discussion about the science of astronomy, black holes, and of the picture itself.
0:  Wow, which brings up a crazy point that I thought about so you always hear about how the universe is like infinitely expanding. Yeah, you always hear that like you've written for me like like all the time Interstellar. It's the best space movie. It's not even just this best space movie. It's the best movie ever.  - what if we're in a black hole? I hate I hate the what ifs of space what a weird black hole. I don't care. What does it matter? Okay, cool. You can go on and on about what if
1:  like T said if what happens if you fall into a black hole how many of us are going to fall into a black hole will never know what happens because if somebody does fall in a black hole they will die and you won't know the answer.  home, I guess I thought then Interstellar Dome into
2:  - what if we're in a black hole? I hate I hate the what ifs of space what a weird black hole. I don't care. What does it matter? Okay, cool. You can go on and on about what if  You fall into a black hole. But how do you even know how that even come along? Do you where does it go? Okay.
3:  Concept of like time and how it's not like time is relative which sounds really weird for us because we're always used to time being the exact same but it's like they go to this planet. It's getting sucked into a black hole in our on that planet is 70 years on Earth and what happens is part of their ship breaks as there's a big wave and it takes a couple hours to get out next thing, you know, they're like 20 years behind 30 years behind and he gets out and his daughters older than him and that is actually scientifically compatible that  and Einstein proved that theory and it's because when you're closer to a black hole like the planet is so much heavier in density where so whereas the black hole and I think the fact like there are some but they're so far away because like if you think about it, so how did you test that? How did he figure out that if you're closer to a black hole time? Buckle up boys.
4:  Zero impact to what we do each day. Like it doesn't matter weird. I think it's it is without question is horrible philosophically. Bullet philosophical Phyllis are yeah, I don't me wrong. It's an interesting Trend thought but the fact that it will never matter to us. Yes is the answer and if I just move my everyday routine people are getting I'm just saying like if  like T said if what happens if you fall into a black hole how many of us are going to fall into a black hole will never know what happens because if somebody does fall in a black hole they will die and you won't know the answer.
5:  and Einstein proved that theory and it's because when you're closer to a black hole like the planet is so much heavier in density where so whereas the black hole and I think the fact like there are some but they're so far away because like if you think about it, so how did you test that? How did he figure out that if you're closer to a black hole time? Buckle up boys.  Here's how they proved that looks like scientists have actually proved that it's realistic fiction. Jake crazy, like accurate nuclear their time clocks meaning. It's just like a stopwatch but down to like a trillionth of a second and like they put one on the floor and they put one like on a hundred foot platform. And the closer you are to Earth. Obviously the gravity's heavier because like when she get higher gravity gets lighter,
6:  No, everything is based in science up till the very end. Then he dives into a loophole theories. Yes, but it's only like it's a very small part of the movie up till that everything in the show is scientifically combatable meaning like okay, here's an example and one part they go to a planet and this planet is in the process of being sucked into a black hole, but it's far enough away where they can get onto it and get off. Now. The thing won't one thing they really dive into is the  Concept of like time and how it's not like time is relative which sounds really weird for us because we're always used to time being the exact same but it's like they go to this planet. It's getting sucked into a black hole in our on that planet is 70 years on Earth and what happens is part of their ship breaks as there's a big wave and it takes a couple hours to get out next thing, you know, they're like 20 years behind 30 years behind and he gets out and his daughters older than him and that is actually scientifically compatible that
7:  This is what intent originally was to to do this to society. Like it was just not look at this picture and you can put like I used to I never used to think that you could people could actually see your picture. So so upload the same picture with all the different edits. Did you actually like? Oh, I know people actually would you do this? What are you doing? I think I'm delayed them. Now that I'm a picture of a tree and then I just like upload 10 of them in different and they feel like the filters of what filters that hole.  A woman getting like you know how I felt as a start of like, oh, this one looks black and white and this one looks kind of tired and now it's like let this filter that changes your whole face. Yeah, like oh my gosh, my nose isn't never look smaller. Love you. Thank you so much Snapchat Instagram. So do you think it's affected your mental health at all? Oh, yeah. I got you're wise enough to have written above it before when I was younger and a bit more like moldable and impregnable definitely like definitely affected me because I think I'd never been super like not confident in who I am as a person but physically
8:  Basically, so I don't know much about Interstellar from but what from what you talk about it. It's basically a movie based on theories. Is that correct?  No, everything is based in science up till the very end. Then he dives into a loophole theories. Yes, but it's only like it's a very small part of the movie up till that everything in the show is scientifically combatable meaning like okay, here's an example and one part they go to a planet and this planet is in the process of being sucked into a black hole, but it's far enough away where they can get onto it and get off. Now. The thing won't one thing they really dive into is the
