Topic 1 coronavirus spread: What were people saying about the spread of the novel coronavirus NCOV-19 in Wuhan at the end of 2019?
0: It started.  Hey, welcome back. So I want to to make today's episode about this continuing spread of the Wuhan coronavirus. I think the official name for it is the 2019 novel coronavirus, but many people are referring to it as just the coronavirus the the Wuhan coronavirus Wuhan flew I've seen that go around but and I think a good place to start is just a quick recap. Where were at now of course is subject to change.
1:  Hey, welcome back. So I want to to make today's episode about this continuing spread of the Wuhan coronavirus. I think the official name for it is the 2019 novel coronavirus, but many people are referring to it as just the coronavirus the the Wuhan coronavirus Wuhan flew I've seen that go around but and I think a good place to start is just a quick recap. Where were at now of course is subject to change.  And I'll be talking more about these numbers. But but of course this coronavirus it's new to scientists as of 2019 began in the city of Wuhan, which is in the hoobae province of China City of roughly 11 million people and it back in like November December. That's kind of when these cases first started appearing.
2:  Is past whatever the flu kills, you know hundreds of thousands each year. I think they're really important thing to understand about that is that those hundreds of thousands? I mean you have the flu does kill them however the flu as far as we know based on current evidence and whatnot is less contagious or at least I should say has a lower are not number meaning. It's it's not spread as easily.  Compared to this novel coronavirus is mortality rate is far far lower less than 1%
3:  Alice's of the situation as well as the I guess impact on the economy because of course that's where my mind often times goes. So quick recap. This is a novel virus.  Which is related to or in the same family as the the czar's which was the severe severe acute respiratory syndrome, which there's a significant outbreak of in in China and Asia back in like the early 2000s as well as merge which is Middle Eastern respiratory syndrome, very similar virus. They're all coronavirus has this one hasn't been given a name yet. It's just a coronavirus which originated as far as we know at least from the city of Wuhan.
4:  Compared to this novel coronavirus is mortality rate is far far lower less than 1%  And furthermore we've known for a while that the flu even on some of its Worst Years. And of course, I'm excluding certain outbreaks of the flu. There's been like Hong Kong flu many decades ago. There was a Spanish flu or whatever. You want to call it French full American flew back in 1918, excluding those obviously the flu largely targets elderly populations young young populations and immune compromised which based on
5:  Which is related to or in the same family as the the czar's which was the severe severe acute respiratory syndrome, which there's a significant outbreak of in in China and Asia back in like the early 2000s as well as merge which is Middle Eastern respiratory syndrome, very similar virus. They're all coronavirus has this one hasn't been given a name yet. It's just a coronavirus which originated as far as we know at least from the city of Wuhan.  In China and thus far it it, you know, it produces.
6:  but get into today's topic, you know, I almost hesitate to throw it another podcast about this this Wuhan this Chinese coronavirus and yet I mean I on this Friday  How can I do anything about that because it really is what is driving the markets today. It's driving a lot of these headlines me. If you turn on the Nightly News, if you turn on most mainstream news programs during the day, if you go over to 0 head, you know, most of the news cycle both financial and non-financial really is is fixated on this this coronavirus. So quick recap on where we're at right now, officially.
7:  Said the world is dying. I think the market got the coronavirus. I think that's what happened. Do you mean - let's talk about your theory of the coronavirus. That was pretty interesting. Yeah, so I have a friend that doctor that I was talking to her texting today and he was saying that and walking and can attest to this but every single person that we talked to in Walkins Discord already had a bad flu this year myself. Yeah, including walking like I literally every one of us like multiple days where we were like in bed and you know for a lot  Of people it was viral. I got one that was bacterial and one that was viral this year already. He was saying that common cold that you got probably wasn't this virus specifically, but the common cold is a coronavirus. That's how it's our started what he was saying is that, you know, a lot of the people in the developed world that got that really bad cold already and went to the doctor and everything probably have a higher immunity than people who haven't gotten it yet. Even if it's spread here roof and you know, like every single person got it a lot of people would
8:  And I'll be talking more about these numbers. But but of course this coronavirus it's new to scientists as of 2019 began in the city of Wuhan, which is in the hoobae province of China City of roughly 11 million people and it back in like November December. That's kind of when these cases first started appearing.  And it's a relative of SARS the severe acute respiratory syndrome, which was was a big deal back in the early 2000s. Also close relative of Words, which is similar to SARS. But Middle Eastern respiratory syndrome and very similar symptoms and whatnot. And the same is true for Coronavirus. Now that the mortality rate the deadliness of this new coronavirus. It's still up in the air. And again, we'll be talking more about those numbers a little bit later on today's episode.
9:  Hon, but also some surrounding cities in the cash. I don't remember the name of the province hoobae. He hey some big cities right will haunt itself is roughly 11 million individuals. And this has spread to a ton of other countries around the world including Japan South Korea Thailand Australia. I think there's a potential reported case and France Russia the UK.  I believe and of course the United States we have soon to be three potentially three confirmed cases of this coronavirus here in the United States mostly from people that recently traveled to China usually the Wuhan providence province. And of course, this is a coming up on the Chinese Lunar New Year, which is is a big event for people traveling and whatnot. So certainly not a good time for this virus to be on the move.
 
Topic 2 greta thunberg cross atlantic: What were people saying about Greta Thunberg’s sailing trip across the Atlantic Ocean in the fall of 2019 and its relationship to global climate change?
0:  Ooh were fighting climate change is there it exists we have all of the tools in front of us. It's just a matter of acting like this. That's a great idea but like make it so that every new building that's built is NetZero. Like that would be amazing. Another thing that done. I don't know. It's a strange still giant, you know that and subdivision. I'll tell you why it isn't done and this relates to some of the questions you sent me. What what we can do is in relates back to Extinction rebellion, and Greta is  People have to speak up and not just to friends and family and stuff like that. They have to speak out and speak up and show up. Just imagine next Friday right have the second part of the global climate strike on this. Yes on the 27th of Millennium Park 12 to 3, but matching of thousands of people showed up for that rather than I mean probably a few hundred will come and hoping in the Thousand. Yeah, let's get a thousand but I'm saying imagine if that
1:  Tidwell considered himself a historian first and to salvage your second he couldn't pass up on the opportunity to discover something new. However, he did not have the financial backing to salvage. What was inside the eye 52 descending to 12,000 feet below the surface of the ocean isn't your average cruise for starters the human body cannot survive those depths without the protection of a submarine or other kind of pressurized submersible vehicle. Even the most skilled scoob.  A divers can only reach depths of a thousand feet a salvage operation on this scale need a deep sea submarines with saws and other Salvage gear making multiple trips to the bottom of the Atlantic Ocean that sort of operation would take weeks and cost millions of dollars. And that's when Jim Philip own comes into the story.
2:  say it could happen this year right for the first time. I know it is the speed at which things are happening is very terrifying because that has dramatic effects. Apparently it'll mess with the currents in the Atlantic Ocean. What's that called the golfing outside of right the Gulf Stream? Okay. Yeah as it slows down the water heats up more and so you get things like not necessarily more hurricanes, but more intense hurricanes.  Because with warm water in the atmosphere is damper, that's all drawn up so that you not only get greater wind speeds. But lot more water is poured down on communities when it comes down and it would have been the past. I'm not sure where the original question was here. But I don't know either keep going. Well Greta to finger good. She's saying that that we need to panic about it because the situation is that bad and even if say we were wrong
3:  A divers can only reach depths of a thousand feet a salvage operation on this scale need a deep sea submarines with saws and other Salvage gear making multiple trips to the bottom of the Atlantic Ocean that sort of operation would take weeks and cost millions of dollars. And that's when Jim Philip own comes into the story.  Jim Phillip own was a wealthy lawyer from Rochester New York Tidwell promised Philip own a cut of the treasure and was able to convince him to invest two million dollars in the mission Philip own also spoke to National Geographic stating quote my motivation for doing it was first and foremost for the excitement and history but profit was by no means a small part of this if Paul is right. There's 20 million dollars worth of gold in the ocean and I
4:  Miles of islands like it's two days sailing away. It's some of the deep, you know, some of the deepest ocean the Atlantic and there you are. There's human beings crash. That's how you'd also see big troll marks from panting. No.  He's back.
5:  Those right? It's like a regular thing now well water levels are rising around the world because of climate change has occurred just till now and the the speed of it is also a very concerning because I think scientists were saying we wouldn't see a ice-free Arctic North Pole for another 20 or 30 years. I think it's if I have I may be wrong about that but not for 10 or 15 years at least and some  say it could happen this year right for the first time. I know it is the speed at which things are happening is very terrifying because that has dramatic effects. Apparently it'll mess with the currents in the Atlantic Ocean. What's that called the golfing outside of right the Gulf Stream? Okay. Yeah as it slows down the water heats up more and so you get things like not necessarily more hurricanes, but more intense hurricanes.
6:  that an image finally appeared on their sonar the unmistakable shape of a submarine finding the legendary Japanese submarine i52 was the easy part salvaging a 2500 ton vessel from the bottom of the Atlantic Ocean was an entirely different story theories varied as to what was actually inside the ship from material to build an atomic bomb to a peace proposal meant for the Allies, but  How would explorers reached this treasure what was truly inside the Japanese? I 52 submarine was there really 20 million dollars worth of gold 12,000 feet at the bottom of the Atlantic Ocean. And if not, where could it have gone?
7:  Disaster on a massive scale even more frightening is the possibility of misuse of biotechnology in creating dangerous and resilient diseases pests and weeds. This could be done deliberately as a means of bioterrorism or accidentally by some overzealous. Idiot in a lab coat if disaster movies have taught us anything number three Gulf Stream shut down. The Gulf Stream is a huge global current which carries warm water Northwest across the Atlantic Ocean warming Western and Northern Europe. However, global  Warming is causing problems for this by Heating and melting ice caps into the Gulf Stream Global Warming. Ironically slows it down and there is evidence that if the trend continues it could eventually totally stop as well as making Europe even colder and greater than it already is this could result in disasters ranging from huge climate changes including massive storms to a mass phytoplankton Extinction. You may recognize phytoplankton as the things which everything else eats did I mention that Europe was cold enough already number two.
